title,roaster,origin,score,price,review_date,aroma,acidity,body,flavor,aftertaste,full_review,url
Yemen Al Obrah,Utopian Coffee,"Al Obrah, Hayma Dakhaliya, Sana'a, Yemen",95,$42.00/8 ounces,March 2025,9,9,9,9,9,"Blind Assessment: Richly sweet, deeply spice-toned. Red currant, sandalwood, star jasmine, dark chocolate, hint of ginger in aroma and cup. Balanced, gently bright acidity; very full, creamy-smooth mouthfeel. Red currant and sandalwood notes harmonize in the finish, with undertones of star jasmine, dark chocolate and ginger. Notes: Produced by smallholding farmers, entirely of the Yemenia variety of Arabica, and processed by the natural method (sun-dried in the whole fruit). Utopian Coffee is a specialty roaster based in Fort Wayne, Indiana. Visit www.utopiancoffee.com for more information. Bottom Line: A beautifully roasted classic Yemen cup with concentrated notes of distinct red currant and rich aromatic wood — especially high-toned for this origin. Explore Similar Coffees: Click here for more reviews from Utopian Coffee",https://www.coffeereview.com/review/yemen-al-obrah/
LATEST REVIEWS,Heady Cup,N/A,97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"We have published thousands of coffee reviews and espresso reviews since 1997. The reviews below appear in reverse chronological order by review date. Older reviews may no longer accurately reflect current versions of the same coffee. To search for a specific roaster, origin or coffee use the Advanced Search Function. Show all reviews Show North American roaster reviews only",https://www.coffeereview.com/review/
Granate,Finca Tasta,"Llayla District, Satipo Province, Peru",94,$13.50/250 grams,February 2025,9,9,9,9,8,"Blind Assessment: Richly sweet, fruit-forward. Black cherry, chocolate fudge, hazelnut, gardenia, whiskey barrel in aroma and cup. Gently bright, malic acidity; plush, syrupy, vibrant mouthfeel. Chocolaty finish with undertones of hazelnut and whiskey barrel. Notes: Produced and roasted by the Meza family at Finca Tasta, a 56-acre farm in Peru that has 19 acres cultivated with coffee and 22 acres of forest preserve. This coffee consists entirely of the Maragogype variety of Arabica and is processed by the natural method (dried in the whole fruit), then aged in whiskey barrels. International shipping available. Visit www.fincatasta.com for more information. Bottom Line: A subtle barrel-aged, natural-processed Peru Maragogype — richly chocolaty, with stone fruit and nut notes and gentle whiskey aromas from barrel aging. Explore Similar Coffees: Click here for more reviews from Finca Tasta",https://www.coffeereview.com/review/granate/
Colombia Manos Juntas Anaerobic Natural,Intuition Coffee,"Cauca Department, Colombia",94,$18.00/12 ounces,March 2025,9,9,9,9,8,"Blind Assessment: Sweetly berry-toned, gently fermenty. Raspberry coulis, wine barrel, dark chocolate, clove, gardenia in aroma and cup. Juicy-bright acidity; full, syrupy-smooth mouthfeel. Finish revolves around notes of raspberry and wine barrel. Notes: Produced by smallholding farmers surrounding the Manos Juntas Micromill, entirely of the Castillo variety of Arabica, and processed by the anaerobic natural method (fermented in an oxygen-free environment, then dried in the whole fruit). Intuition Coffee is a specialty roaster and cafe based in Peoria, Illinois. Visit www.intuitioncoffee.com for more information. Bottom Line: A wide-ranging natural anaerobic Colombia Castillo, both in aromatics and on the palate: berry-driven, richly chocolaty, complicated by a wine barrel throughline. Explore Similar Coffees: Click here for more reviews from Intuition Coffee",https://www.coffeereview.com/review/colombia-manos-juntas-anaerobic-natural/
Yemen Ismaili,Lin Jen-Wei's Black Jar Coffee,"Bani Ismail District, Sana'a, Yemen",94,NT $1200/227 grams,March 2025,9,8,9,9,9,"Blind Assessment: Delicately fruity, deeply sweet. Dried mulberry, almond nougat, freesia, amber, pink grapefruit in aroma and cup. Brisk, winy acidity; full, creamy-smooth mouthfeel. Exceptionally long, fruit-forward, richly floral finish. Notes: Produced by smallholding farmers, entirely of the Ismaili variety of Arabica, and processed by the natural method (dried in the whole fruit). Lin Jen-Wei’s Black Jar Coffee, a Taiwan-based nano-roaster and café, is named for both the Taiwanese slang phrase “black soy sauce in black jar,” indicating something is difficult to see through, and the literal black jar in which this company stores coffee to protect it from UV light. Roasted by Lin Jen-Wei, the daughter of the owner, who has been roasting for five years (since she was 13!). For more information, visit Black Jar's Facebook page. Bottom Line: A classic Yemen cup with distinct yet integrated dried berry notes juxtaposed with spice-toned florals and a resiny amber-like throughline. Explore Similar Coffees: Click here for more reviews from Lin Jen-Wei's Black Jar Coffee",https://www.coffeereview.com/review/yemen-ismaili/
Guatemala Whiskey Barrel-Aged,DF Spices,"Antigua Department, Guatemala",87,$24.00/16 ounces,March 2025,8,7,7,8,7,"Blind Assessment: Sweet, ketoney. Tequila barrel, vanilla, fir pulp, simple syrup, green peppercorn in aroma and cup. Brash acidity; chalky mouthfeel. Wood-framed finish with distinct ketone notes. Notes: Produced by smallholding farmers, from trees of the Bourbon, Caturra, Catuai and Typica varieties of Arabica, and processed by the washed method. The green coffee was rested in whiskey barrels by DF Spices. DF (Deep Flow) Spices is a Canadian specialty spice purveyor with a line of coffee products. Visit dfspices.com for more information. Bottom Line: An overtly whiskey-barrel-aged single-origin Guatemala — sweet, crisp, with an alcohol sweetness throughout the cup. Explore Similar Coffees: Click here for more reviews from DF Spices",https://www.coffeereview.com/review/guatemala-whiskey-barrel-aged/
Costa Rica San Diego,Utopian Coffee,"Tarrazu, Costa Rica",94,$22.00/12 ounces,February 2025,9,8,9,9,9,"Blind Assessment: Sweet, complex, deep-toned. Cocoa nib, red apple, walnut butter, candied violet, cedar in aroma and cup. Gently bright acidity; plush, creamy mouthfeel. Very long, lingering, flavor-saturated finish. Notes: Produced by smallholding farmers under the direction of Juan Ramon, from trees of the Caturra and Catuai varieties of Arabica, and processed by the low-oxygen honey method, in which some of the fruit flesh is left on the beans during the drying process, which was conducted under low-oxygen conditions. Utopian Coffee is a specialty roaster based in Fort Wayne, Indiana. Visit www.utopiancoffee.com for more information. Bottom Line: A multilayered, richly wide-ranging Costa Rica that leads with notes of fruit and cocoa supported by sweet florals and complicated by integrated, rich aromatic wood. Explore Similar Coffees: Click here for more reviews from Utopian Coffee",https://www.coffeereview.com/review/costa-rica-san-diego/
Wilton Benitez Colombia Yellow Bourbon,JBC Coffee Roasters,"Piendamó, Cauca, Colombia",96,$22.00/8 ounces,February 2025,9,9,9,10,9,"Blind Assessment: Floral, citrusy, sweetly herbaceous. Ginger blossom, tangerine, lemon verbena, coca nib, amber in aroma and cup. Bright, phosphoric acidity; vibrant, silky mouthfeel. Harmonious, integrated, flavor-laden, very long finish. Notes: Produced by Wilton Benitez of Granja Paraiso 92, entirely of the Yellow Bourbon variety of Arabica, and processed by the thermal shock method, in which the coffee fruit, after having been first sanitized with ozone, undergoes two stages of fermentation. First, the whole cherries are submerged under water for 48 hours, then the beans are pulped and fermented with a strain of Lactobacillus for 24 hours. After fermentation, the beans are given a “thermal shock” using hot and cold rinses to help the beans absorb the fermentation metabolites and halt any further fermentation. Afterward, the washed parchment coffee is rapidly dried with an in-house designed Eco-Enigma dehumidifying dryer to avoid over-oxidation or continued fermentation. JBC Coffee Roasters’ vision is simple: “Let the coffee lead the way” through sourcing and roasting the best coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information. Bottom Line: A rare variety of Arabica, Yellow Bourbon, grown by Wilton Benitez in Colombia, and processed by his proprietary “thermal shock” method, which amplifies aromas and flavors — a relative bargain for this level of labor and care. Explore Similar Coffees: Click here for more reviews from JBC Coffee Roasters",https://www.coffeereview.com/review/wilton-benitez-colombia-yellow-bourbon/
Guatemala Acatenango Geisha,Lin Jen-Wei's Black Jar Coffee,"Acatenango growing region, Guatemala",94,NT $1200/227 grams,March 2025,9,9,9,9,8,"Blind Assessment: Floral-toned, sweetly tart. Magnolia, vanilla bean, pistachio, cocoa nib, agave syrup in aroma and cup. High-toned, balanced acidity; crisp, very satiny mouthfeel. Finish consolidates to notes of cocoa nib and magnolia. Notes: Produced by smallholding farmers, entirely of the Geisha variety of Arabica, and processed by the washed method (fruit skin and pulp removed before drying). Lin Jen-Wei’s Black Jar Coffee, a Taiwan-based nano-roaster and café, is named for both the Taiwanese slang phrase “black soy sauce in black jar,” indicating something is difficult to see through, and the literal black jar in which this company stores coffee to protect it from UV light. Roasted by Lin Jen-Wei, the daughter of the owner, who has been roasting for five years (since she was 13!). For more information, visit Black Jar's Facebook page. Bottom Line: This very sweet, deeply floral Guatemala Geisha has pleasing notes of vanilla bean and pistachio throughout the profile — complex, rich, harmonious. Explore Similar Coffees: Click here for more reviews from Lin Jen-Wei's Black Jar Coffee",https://www.coffeereview.com/review/guatemala-acatenango-geisha-3/
Colombia Chachagüí Mild Roast,Rusty Dog Coffee,"Chachagüí, Nariño Department, Colombia",93,$21.00/12 ounces,February 2025,9,8,9,9,8,"Blind Assessment: Chocolaty-sweet, fruit-forward. Baking chocolate, red grape, pink peppercorn, freesia, oak in aroma and cup. Gentle, round acidity; plush, creamy mouthfeel. Chocolaty finish with undertones of pink peppercorn. Notes: Produced by the Guerrero, Sepulveda and Trejos families, from trees of the Castillo, Caturra and Colombia varieties of Arabica, and processed by the natural method (dried in the whole fruit). Rusty Dog Coffee is a Madison, Wisconsin-based specialty coffee roaster. Visit www.rustydogcoffee.com for more information. Bottom Line: Crisp chocolate and sweet-tart fruit notes are front and center in this cleanly natural-processed Colombia cup with spicy floral notes throughout. Explore Similar Coffees: Click here for more reviews from Rusty Dog Coffee",https://www.coffeereview.com/review/colombia-chachagui-mild-roast-2/
Sochiapam Mexico,JBC Coffee Roasters,"Sochiapam, Oaxaca, Mexico",93,$21.00/12 ounces,February 2025,9,8,9,9,8,"Blind Assessment: Floral-toned, crisply chocolaty. Honeysuckle, baking chocolate, sugarcane, apricot, almond butter in aroma and cup. Gently bright acidity; plush, syrupy-smooth mouthfeel. Floral-toned finish supported by notes of almond and baking chocolate. Notes: Produced by smallholding farmers, from trees of the Pluma, Typica, Bourbon and Mundo Novo varieties of Arabica, and processed by the washed method (fruit skin and pulp removed before drying. JBC Coffee Roasters’ vision is simple: “Let the coffee lead the way” through sourcing and roasting the best coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information. Bottom Line: A richly floral, crisply chocolaty coffee from Oaxaca that’s balanced, bright, and viscous on the palate. Explore Similar Coffees: Click here for more reviews from JBC Coffee Roasters",https://www.coffeereview.com/review/sochiapam-mexico/
Murundo People’s Farm Rwanda,JBC Coffee Roasters,"Nyamasheke District, Western Province, Rwanda",93,$20.00/12 ounces,February 2025,9,8,9,9,8,"Blind Assessment: Deeply sweet, richly savory. Salted caramel, pomegranate, myrrh, hazelnut, cedar in aroma and cup. Balanced, briskly sweet acidity; very ful, satiny mouthfeel. Finish consolidates to notes of salted caramel and pomegranate with cedar undertones. Notes: Produced by smallholding farmers around the Murundo Washing Station, entirely of the Bourbon variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). JBC Coffee Roasters’ vision is simple: “Let the coffee lead the way” through sourcing and roasting the best coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information. Bottom Line: A caramelly-tart Rwanda with an interesting myrrh-like throughline, resiny and aromatic, that gets ballast from cedary depth Explore Similar Coffees: Click here for more reviews from JBC Coffee Roasters",https://www.coffeereview.com/review/murundo-peoples-farm-rwanda-2/
LATEST REVIEWS,Victrola Coffee Roasters,N/A,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"We have published thousands of coffee reviews and espresso reviews since 1997. The reviews below appear in reverse chronological order by review date. Older reviews may no longer accurately reflect current versions of the same coffee. To search for a specific roaster, origin or coffee use the Advanced Search Function. Show all reviews Show North American roaster reviews only",https://www.coffeereview.com/review/page/2/
Ethiopia Bench-Maji Lucy Geisha Anaerobic Natural,Da-Dai Coffee,"Bench-Maji Zone, southern Ethiopia",94,NT $300/100 grams,March 2025,9,8,9,9,9,"Blind Assessment: Perfumy, sweetly tart, rich-toned. Loquat, cocoa butter, magnolia, neroli, sugarcane in aroma and cup. Crisp, citrusy acidity; very syrupy-smooth mouthfeel. Sweet, long, fruit-forward finish. Notes: Produced from trees of the rare Ethiopia-derived botanical variety Gesha (also Geisha) by Adam and Rachel Overton. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world’s most unique coffees. Although the Gesha variety originated in Ethiopia, it was “discovered” by the coffee world in 2004 growing in Boquete, Panama, and Panama continues to dominate the expanding world of Gesha. This particular version, however, is the outcome of efforts to commercialize Gesha in the region from which it originally came. It is processed by the anaerobic natural method (fermented in an oxygen-free environment, then dried in the whole fruit). Da-Dai Coffee is a small roasting studio in Kaohsiung, Taiwan that specializes in select microlots. Visit Da-Dai’s Facebook page for more information. Bottom Line: With a candy-like sweetness throughout the profile, this anaerobic Ethiopia Geisha Candy evokes a garden in spring — richly aromatic, floral-toned. Explore Similar Coffees: Click here for more reviews from Da-Dai Coffee",https://www.coffeereview.com/review/ethiopia-bench-maji-lucy-geisha-anaerobic-natural/
Sumatra,Starbucks Coffee,"Sumatra, Indonesia",82,$9.99/12 ounces,February 2025,6,6,7,7,6,"Blind Assessment: Roast-muted, wood-framed. Earthy, sweetly savory. Treacle, fresh-turned soil, scorched fir, lily, date in aroma and cup. Sharp, astringent acidity; bitter but viscous mouthfeel. Smoky, woody finish with undertones of lily. Notes: No origin information provided except “Sumatra.” Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. Visit www.starbucks.com for more information. Bottom Line: A not-terribly-appealing dark-roast Sumatra with some sweetness underneath the bitter and just a hint of Sumatra sweet-earthy character. Explore Similar Coffees: Click here for more reviews from Starbucks Coffee",https://www.coffeereview.com/review/sumatra-16/
Ethiopia,Whole Foods Market,Ethiopia,90,$14.99/12 ounces,February 2025,8,8,8,9,7,"Blind Assessment: Crisply sweet, delicately tart. Cocoa nib, orange zest, bay leaf, yellow plum, cedar in aroma and cup. Brisk, balanced acidity; lightly satiny mouthfeel. Gently drying, citrusy and cocoa-toned finish. Notes: No origin information provided except ”Ethiopia.” Roasted for Whole Foods Market, Inc., owned by Amazon, in the company’s Denver, Colorado roasting facility (formerly branded as Allegro Coffee Roasters). Whole Foods is an American multinational supermarket chain based in Austin, Texas. Visit www.wholefoodsmarket.com for more information. Bottom Line: A supermarket winner for its easygoing accessibly complex, classic Ethiopia profile. Explore Similar Coffees: Click here for more reviews from Whole Foods Market",https://www.coffeereview.com/review/ethiopia-5/
Colombia San Roque,La Colombe,"Huila Department, Colombia",89,$21.00/12 ounces,February 2025,8,7,8,8,8,"Blind Assessment: Cocoa-toned, sweet-tart. Cocoa powder, Brazil nut, lemon balm, fir, dried fig in aroma and cup. Sweet, slightly astringent acidity; crisp, silky mouthfeel. Harmonious finish consolidates to notes of cocoa powder and lemon balm. Notes: Produced by smallholding farmers of the Asociación San Roque, entirely of the Caturra variety of Arabica, and processed by the washed method (fruit skin and pulp removed before drying). Founded in Philadelphia in 1994 by Todd Carmichael and JP Iberti, La Colombe is now owned by Chobani. Visit www.lacolombe.com for more information. Bottom Line: An accessible, brightly crisp, gently cocoa-toned Colombia cup. Explore Similar Coffees: Click here for more reviews from La Colombe",https://www.coffeereview.com/review/colombia-san-roque/
LATEST REVIEWS,Starbucks Coffee,N/A,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"We have published thousands of coffee reviews and espresso reviews since 1997. The reviews below appear in reverse chronological order by review date. Older reviews may no longer accurately reflect current versions of the same coffee. To search for a specific roaster, origin or coffee use the Advanced Search Function. Show all reviews Show North American roaster reviews only",https://www.coffeereview.com/review/page/3/
Ethiopia Agaro Duromina,Jaunt Coffee Roasters,"Agaro Duromina, Jimma Zone, Oromia State, Ethiopia",94,$22.00/12 ounces,February 2025,9,9,9,9,8,"Blind Assessment: Floral-toned, brightly sweet. Jasmine, apricot, cocoa nib, almond butter lemongrass in aroma and cup. Juicy-bright acidity; syrupy-smooth mouthfeel. Finish consolidates to notes of apricot and almond. Notes: Produced by smallholding farmers, from trees of local landrace varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp are removed before drying). Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information. Bottom Line: This Ethiopia profile hits all the classic tasting notes: juicy stone fruit, crisp cocoa nib, and richly sweet florals. Explore Similar Coffees: Click here for more reviews from Jaunt Coffee Roasters",https://www.coffeereview.com/review/ethiopia-agaro-duromina-2/
Rwanda Murundo People’s Farm,Intelligentsia Coffee,"Ghiombo, Nyamasheke District, Western Province, Rwanda",92,$23.00/12 ounces,February 2025,9,8,8,9,8,"Blind Assessment: Bright, sweet, citrusy. Sweet lime, almond, marjoram, cocoa nib, fresh-cut oak, violet in aroma and cup. Sweet-toned, balanced acidity; crisp, satiny mouthfeel. Citrusy finish with undertones of almond and oak. Notes: Produced by smallholding farmers around the Murundo Washing Station, entirely of the Bourbon variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Intelligentsia Coffee, founded in Chicago 1995 by ​​Doug Zell and Emily Mange, is now owned by Peet’s/JAB Holding Company. Intelligentsia has training centers in Austin, Boston, Chicago, Los Angeles and New York. Visit www.intelligentsia.com for more information. Bottom Line: Complex citrus aromas and flavors are at the heart of this light-roasted Rwanda, supported by cocoa nib, sweet herbs and rich aromatic wood notes. Explore Similar Coffees: Click here for more reviews from Intelligentsia Coffee",https://www.coffeereview.com/review/rwanda-murundo-peoples-farm/
Ethiopia Yirgacheffe,La Colombe,"Yirgacheffe growing region, south-central Ethiopia",90,$18.00/12 ounces,February 2025,8,8,8,8,8,"Blind Assessment: Delicately sweet-tart, gently floral. Lilac, red plum, raw almond, baking chocolate, grapefruit in aroma and cup. Briskly sweet acidity; lightly satiny mouthfeel. Crisply chocolaty, nut-toned finish. Notes: Produced by smallholding farmers, from trees of local landrace varieties of Arabica long grown in the region, and processed by the washed method (fruit skin and pulp removed before drying). Founded in Philadelphia in 1994 by Todd Carmichael and JP Iberti, La Colombe is now owned by Chobani. Visit www.lacolombe.com for more information. Bottom Line: An even-keeled washed Ethiopia, balanced and delicate, that tastes familiar in a medium-roast, stone-fruit-and-almond way. Explore Similar Coffees: Click here for more reviews from La Colombe",https://www.coffeereview.com/review/ethiopia-yirgacheffe-29/
The Secret of Colombia,Coffeebox Coffee,Costa Rica; Colombia,92,NT $390/227 grams,February 2025,9,9,8,9,7,"Blind Assessment: Gently tart, chocolaty. Lemon balm, cocoa powder, date, cedar sassafras in aroma and cup. Bright, winy acidity; crisp, lightly satiny mouthfeel. Gently drying finish consolidates to notes of lemon balm, cedar and cocoa powder. Notes: A blend of coffees from Costa Rica and Colombia, including Geisha, Bourbon and  Typica varieties of Arabica, al natural-processed. CoffeeBox Coffee founders Godfrey and Coco focus on small-batch coffee roasting with the goal of making the joy of premium coffee accessible to everyone. Visit shop.coffeebox.tw for more information. Bottom Line: A delicately fruity, sweetly herbaceous natural-processed Costa Rica-Colombia blend that foregrounds sweet herb and cocoa powder notes. Explore Similar Coffees: Click here for more reviews from Coffeebox Coffee",https://www.coffeereview.com/review/the-secret-of-colombia/
