title,price,url,origin,score,compound_sentiment,positive_sentiment,negative_sentiment,neutral_sentiment,textblob_polarity,textblob_subjectivity,top_descriptors,top_adjectives,descriptor_count,all_descriptors
Ethiopia Yirgacheffe,$18.00/12 ounces,https://www.coffeereview.com/review/ethiopia-yirgacheffe-29/,"Yirgacheffe growing region, south-central Ethiopia",90,0.7925,0.1,0.023,0.877,0.0796153846153846,0.5196581196581198,"sweet, almond, floral, balanced, medium","sweet, more, blind, tart, floral",7,"floral, sweet, balanced, medium, chocolate, nut, almond"
The Secret of Colombia,NT $390/227 grams,https://www.coffeereview.com/review/the-secret-of-colombia/,Costa Rica; Colombia,92,0.9524,0.162,0.021,0.817,0.27321428571428574,0.5970238095238096,"cocoa, fruity, sweet, bright, crisp","natural, more, blind, tart, bright",5,"fruity, sweet, bright, crisp, cocoa"
Kenya Embu Gicherori PB Washed,NT $390/227 grams,https://www.coffeereview.com/review/kenya-embu-gicherori-pb-washed/,"Embu Country, Kenya",93,0.91,0.111,0.02,0.869,0.25892857142857145,0.5363095238095238,"cocoa, sweet, bright, crisp, cherry","pink, more, blind, bright, tart",5,"sweet, bright, crisp, cherry, cocoa"
Panama Renaissance Series Flora Geisha Washed,NT $800/227 grams,https://www.coffeereview.com/review/panama-renaissance-series-flora-geisha-washed/,"Boquete growing region, western Panama",94,0.8885,0.12,0.023,0.857,0.22384615384615386,0.5720512820512821,"floral, cocoa, sweet, smooth, balanced","floral, more, blind, herbaceous, rosemary",7,"floral, sweet, smooth, balanced, bright, honey, cocoa"
Guatemala Santa Ana Dilla Alghe Washed,$30.00/12 ounces,https://www.coffeereview.com/review/guatemala-santa-ana-dilla-alghe-washed/,"Santa Rosa Department, Guatemala",93,0.9682,0.17,0.019,0.811,0.23214285714285715,0.5541666666666668,"chocolate, caramel, sweet, apple, almond","sweet, vibrant, more, blind, pink",6,"caramel, sweet, crisp, apple, chocolate, almond"
Forty-Six,$19.50/12 ounces,https://www.coffeereview.com/review/forty-six/,Guatemala; Ethiopia,93,0.783,0.099,0.043,0.858,0.1111111111111111,0.5105555555555557,"floral, sweet, medium, dark, chocolate","more, blind, chocolaty, floral, sweet",6,"floral, sweet, medium, dark, chocolate, hazelnut"
Sumatra,$9.99/12 ounces,https://www.coffeereview.com/review/sumatra-16/,"Sumatra, Indonesia",87,0.8807,0.13,0.025,0.844,0.11527777777777777,0.5722222222222223,"sweet, earthy, cocoa, rich, aromatic","earthy, sweet, more, blind, rich",6,"sweet, earthy, rich, aromatic, smoky, cocoa"
Sumatra,$19.95/16 ounces,https://www.coffeereview.com/review/sumatra-17/,"Sumatra, Indonesia",87,0.8807,0.13,0.025,0.844,0.11527777777777777,0.5722222222222223,"sweet, earthy, cocoa, rich, aromatic","earthy, sweet, more, blind, rich",6,"sweet, earthy, rich, aromatic, smoky, cocoa"
Santafé Colombia,$23.00/12 ounces,https://www.coffeereview.com/review/santafe-colombia/,"Santafé, Nariño Department, Colombia",91,0.9524,0.15,0.019,0.832,0.29090909090909095,0.6128787878787879,"cocoa, bright, sweet","bright, tart, more, blind, briskly",3,"sweet, bright, cocoa"
Colombia Arbey Narvaez,$21.00/12 ounces,https://www.coffeereview.com/review/colombia-arbey-narvaez/,"Nariño Department, Colombia",93,0.7351,0.074,0.02,0.906,0.1653846153846154,0.49679487179487186,"berry, chocolate, smooth, dark, honey","more, blind, tangerine, brisk, full",5,"berry, smooth, dark, honey, chocolate"
Ethiopia Kirite,$31.00/12 ounces,https://www.coffeereview.com/review/ethiopia-kirite/,"Guji Zone, southern Ethiopia",89,0.8689,0.098,0.02,0.883,0.052424242424242415,0.4458585858585859,"chocolate, citrus, sweet, light, crisp","more, blind, meyer, tart, crisp",6,"citrus, sweet, light, crisp, cherry, chocolate"
Guatemala La Minita La Flor Peaberry Washed,NT $320/227 grams,https://www.coffeereview.com/review/guatemala-la-minita-la-flor-peaberry-washed/,"Antigua Department, Guatemala",91,0.875,0.093,0.02,0.887,0.2676470588235294,0.5901960784313726,"nutty, chocolate, floral, sweet, nut","nutty, more, blind, sweet, gentle",5,"nutty, floral, sweet, chocolate, nut"
Costa Rica Tarrazu,$22.00/12 ounces,https://www.coffeereview.com/review/costa-rica-tarrazu-5/,"Tarrazu, Costa Rica",93,0.9287,0.129,0.019,0.852,0.1464285714285714,0.5071428571428571,"chocolate, cinnamon, sweet, clove","sweet, more, blind, briskly, anaerobic",4,"sweet, chocolate, cinnamon, clove"
Kenya,$14.99/12 ounces,https://www.coffeereview.com/review/kenya-11/,Kenya,92,0.4767,0.082,0.045,0.874,0.07611111111111112,0.33222222222222225,"sweet, smooth, complex, apple, cocoa","whole, sweet, more, blind, pink",6,"sweet, smooth, complex, apple, cocoa, chocolate"
Ethiopia Fancy,$19.95/16 ounces,https://www.coffeereview.com/review/ethiopia-fancy/,Ethiopia,87,0.8591,0.098,0.022,0.88,0.15250000000000002,0.5766666666666668,"dark, smoky, chocolate, citrus, sweet","smoky, dark, more, blind, meyer",8,"citrus, sweet, rich, dark, aromatic, smoky, chocolate, hazelnut"
Ethiopia Coffee Lamp Series Worka Natural G1,NT $380/227 grams,https://www.coffeereview.com/review/ethiopia-coffee-lamp-series-worka-natural-g1/,"Gedeb District, Gedeo Zone, southern Ethiopia",92,0.9393,0.155,0.021,0.824,0.221875,0.4963541666666667,"berry, sweet, chocolate, almond, smooth","sweet, natural, more, blind, toned",6,"berry, sweet, smooth, blueberry, chocolate, almond"
Dembi Ethiopia Natural,$22.00/12 ounces,https://www.coffeereview.com/review/dembi-ethiopia-natural/,"Sidamo growing region, southern Ethiopia",93,0.9552,0.161,0.02,0.819,0.2234375,0.4587797619047619,"berry, cocoa, sweet, smooth, balanced","natural, more, blind, tart, crisp",6,"berry, sweet, smooth, balanced, crisp, cocoa"
Ethiopia Guji Uraga Tabe Burka G1 Washed,NT $299/8 ounces,https://www.coffeereview.com/review/ethiopia-guji-uraga-tabe-burka-g1-washed/,"Guji Zone, Oromia Region, southern Ethiopia",92,0.9153,0.132,0.022,0.847,0.125,0.5154761904761905,"dark, chocolate, aromatic, smooth, full-bodied","dark, aromatic, more, blind, savory",6,"smooth, full-bodied, dark, aromatic, apple, chocolate"
Ethiopia Sidamo Assefa 74110 Natural,NT $349/8 ounces,https://www.coffeereview.com/review/ethiopia-sidamo-assefa-74110-natural/,"Sidamo growing region, southern Ethiopia",93,0.7964,0.094,0.023,0.883,0.16145833333333331,0.5588541666666668,"chocolate, blueberry, nutty, berry, sweet","natural, more, blind, nutty, sweet",7,"nutty, berry, sweet, crisp, blueberry, chocolate, almond"
Taiwan COE#9 Alishan Zhuo Wu Farm Geisha Honey,"NT $1,800/100 grams",https://www.coffeereview.com/review/taiwan-coe9-alishan-zhuo-wu-farm-geisha-honey/,"Alishan, Taiwan",92,0.8126,0.09,0.022,0.889,0.13958333333333334,0.4673611111111111,"honey, floral, sweet, rich, nut","gk, more, blind, sweet, tart",5,"floral, sweet, rich, honey, nut"
Ethiopia Yirgacheffe Misty Valley Aricha Washed G1,NT $339/8 ounces,https://www.coffeereview.com/review/ethiopia-yirgacheffe-misty-valley-aricha-washed-g1/,"Yirgacheffe growing region, south-central Ethiopia",94,0.9153,0.136,0.022,0.842,0.19583333333333333,0.49861111111111117,"cocoa, sweet, floral, bright, complex","sweet, more, blind, complex, intricate",6,"floral, sweet, bright, complex, crisp, cocoa"
Colombia Jose Ignacio Gomez Washed,NT $399/8 ounces,https://www.coffeereview.com/review/colombia-jose-ignacio-gomez-washed/,"Nariño Department, Colombia",90,0.872,0.123,0.046,0.831,0.1340909090909091,0.628030303030303,"nutty, citrus, sweet, smooth, balanced","agave, zest, bittersweet, more, blind",7,"nutty, citrus, sweet, smooth, balanced, bright, crisp"
El Salvador Dehydrated Honey Hybrid 1,$20.00/12 ounces,https://www.coffeereview.com/review/el-salvador-dehydrated-honey-hybrid-1/,"Apaneca-Ilamatepec growing region, El Salvador",93,0.9633,0.143,0.016,0.842,0.20045454545454547,0.5038636363636364,"sweet, nutty, floral, caramel, smooth","sweet, toned, pink, hybrid, more",11,"nutty, floral, caramel, sweet, smooth, balanced, dark, aromatic, honey, apple, nut"
Taiwan COE #3 Alishan Zhou Zhu Yuan Geisha Natural,"NT $2,700/100 grams",https://www.coffeereview.com/review/taiwan-coe-3-alishan-zhou-zhu-yuan-geisha-natural/,"Alishan, Taiwan",94,0.9042,0.117,0.021,0.862,0.17700000000000002,0.5437777777777778,"nutty, citrus, sweet, smooth, balanced","natural, gk, more, blind, sweet",9,"nutty, citrus, sweet, smooth, balanced, bright, rich, complex, nut"
Kenya Kirinyaga Karimikui Factory AA TOP Washed,NT $399/8 ounces,https://www.coffeereview.com/review/kenya-kirinyaga-karimikui-factory-aa-top-washed/,"Kirinyaga District, south-central Kenya",93,0.9001,0.123,0.023,0.854,0.12307692307692307,0.5102564102564103,"cocoa, berry, caramel, sweet, balanced","pink, more, blind, balanced, savory",8,"berry, caramel, sweet, balanced, rich, dark, crisp, cocoa"
Pantan Musara Sumatra,$23.00/12 ounces,https://www.coffeereview.com/review/pantan-musara-sumatra-4/,"Aceh Province, Sumatra, Indonesia",94,0.9652,0.157,0.018,0.825,0.2,0.5070238095238097,"sweet, dark, chocolate, berry, rich","dark, more, sweet, blind, crisp",7,"berry, sweet, rich, dark, crisp, chocolate, clove"
Ethiopia Guji Hambela Red Honey G1,NT $349/8 ounces,https://www.coffeereview.com/review/ethiopia-guji-hambela-red-honey-g1/,"Guji Zone, Oromia Region, southern Ethiopia",92,0.8402,0.098,0.033,0.869,0.165,0.39444444444444454,"sweet, honey, nut, hazelnut, toffee","sweet, more, blind, bittersweet, briskly",7,"sweet, smooth, honey, chocolate, nut, hazelnut, toffee"
Black Espresso,$12.75/12 ounces,https://www.coffeereview.com/review/black-espresso/,Not disclosed,93,0.9081,0.112,0.02,0.868,0.12957142857142856,0.5473333333333334,"cherry, sweet, rich, dark, complex","black, primary, more, blind, tart",8,"sweet, rich, dark, complex, crisp, smoky, cherry, chocolate"
Nicaragua La Estrella Washed,NT $299/8 ounces,https://www.coffeereview.com/review/nicaragua-la-estrella-washed/,"Nueva Segovia, Nicaragua",92,0.8555,0.118,0.024,0.857,0.22797619047619047,0.46309523809523817,"nut, chocolate, sweet, crisp, apple","more, blind, red, brisk, full",6,"sweet, crisp, apple, chocolate, nut, almond"
Ethiopia Guji Uraga Raro Washed G1,NT $329/8 ounces,https://www.coffeereview.com/review/ethiopia-guji-uraga-raro-washed-g1/,"Guji Zone, Oromia Region, southern Ethiopia",93,0.91,0.121,0.021,0.858,0.207979797979798,0.4955555555555555,"cocoa, bright, spicy, crisp","bright, pink, more, blind, vibrant",4,"bright, spicy, crisp, cocoa"
El Salvador Lenca Pacas-Bourbon Washed,NT $299/8 ounces,https://www.coffeereview.com/review/el-salvador-lenca-pacas-bourbon-washed/,"Ahuachapán growing region, El Salvador",91,0.8316,0.117,0.023,0.859,0.20749999999999996,0.5046428571428572,"sweet, chocolate, nut, crisp, apple","sweet, full, more, blind, green",5,"sweet, crisp, apple, chocolate, nut"
Guatemala El Soccoro Maracaturra Washed,$20.00/12 ounces,https://www.coffeereview.com/review/guatemala-el-soccoro-maracaturra-washed/,"Palencia, Guatemala Department, Guatemala",94,0.8807,0.104,0.027,0.869,0.09644444444444443,0.5671111111111112,"sweet, complex, vanilla, chocolate","more, blind, sweet, savory, sugarcane",4,"sweet, complex, vanilla, chocolate"
Colombia San Martin Bourbon Aji Star Fruit Peach Honey,NT $650/200 grams,https://www.coffeereview.com/review/colombia-san-martin-bourbon-aji-star-fruit-peach-honey/,"Huila Department, Colombia",95,0.8885,0.101,0.019,0.88,0.1608974358974359,0.4557692307692308,"sweet, smooth, aromatic, honey, cinnamon","sweet, white, gk, more, blind",5,"sweet, smooth, aromatic, honey, cinnamon"
Pike’s Place Roast,$9.99/12 ounces,https://www.coffeereview.com/review/pikes-place-roast/,Latin America,78,-0.9403,0.013,0.168,0.819,-0.054545454545454536,0.4878787878787879,"bitter, woody","harsh, bitter, soapy, more, blind",2,"bitter, woody"
Las Margaritas Colombia Sudan Rume Natural,$25.00/8 ounces,https://www.coffeereview.com/review/las-margaritas-colombia-sudan-rume-natural/,"Caicendonia, Valle Del Cauca, Cauca Department, Colombia",95,0.978,0.195,0.017,0.788,0.2112753036437247,0.5347551571235782,"citrus, sweet, smooth, earthy, aromatic","natural, more, blind, herbaceous, raw",5,"citrus, sweet, smooth, earthy, aromatic"
Yabitu Koba Ethiopia,$23.00/12 ounces,https://www.coffeereview.com/review/yabitu-koba-ethiopia-2/,"Guji Zone, Oromia Region, southern Ethiopia",95,0.9812,0.201,0.017,0.782,0.23888888888888887,0.5122448979591837,"floral, citrus, smooth, balanced, bright","floral, juicy, tart, more, blind",10,"citrus, floral, smooth, balanced, bright, rich, dark, complex, crisp, chocolate"
Yabitu Koba Ethiopia,$23.00/12 ounces,https://www.coffeereview.com/review/yabitu-koba-ethiopia/,"Guji Zone, Oromia region, southern Ethiopia",95,0.9812,0.201,0.017,0.782,0.23888888888888887,0.5122448979591837,"floral, citrus, smooth, balanced, bright","floral, juicy, tart, more, blind",10,"citrus, floral, smooth, balanced, bright, rich, dark, complex, crisp, chocolate"
Colombia Huila La Florida Natural Selective,NT $480/8 ounces,https://www.coffeereview.com/review/colombia-huila-la-florida-natural-selective/,"Huila Department, Colombia",93,0.8979,0.14,0.026,0.834,0.15705128205128205,0.5115384615384615,"dark, chocolate, sweet, smooth, bright","dark, natural, more, blind, sweet",6,"sweet, smooth, bright, dark, chocolate, toffee"
Honduras Comsa Station Natural SHG EP,NT $250/227 grams,https://www.coffeereview.com/review/honduras-comsa-station-natural-shg-ep/,"Montecillos, Honduras",92,0.8927,0.11,0.021,0.869,0.09861111111111111,0.5666666666666667,"chocolate, chocolatey, caramel, sweet, crisp","kafe, more, blind, fresh, small",6,"chocolatey, caramel, sweet, crisp, aromatic, chocolate"
Ethiopia Guji Hambela Natural G1,NT $480/8 ounces,https://www.coffeereview.com/review/ethiopia-guji-hambela-natural-g1/,"Guji Zone, Oromia Region, southern Ethiopia",92,0.5267,0.065,0.025,0.911,0.07666666666666666,0.49,"chocolate, citrus, berry, sweet, crisp","natural, more, blind, zest, sweet",5,"citrus, berry, sweet, crisp, chocolate"
Ethiopia Sidama  Bombe Natural,NT $350/200 grams,https://www.coffeereview.com/review/ethiopia-sidama-bombe-natural-2/,"Sidamo growing region, southern Ethiopia",94,0.9001,0.14,0.023,0.838,0.1471428571428571,0.5555952380952381,"floral, fruity, sweet, cocoa","floral, natural, more, blind, brown",4,"fruity, floral, sweet, cocoa"
Ethiopia Sidama Bensa Alo Single Variety 74158 Natural,NT $840/113 grams,https://www.coffeereview.com/review/ethiopia-sidama-bensa-alo-single-variety-74158-natural/,"Sidamo growing region, southern Ethiopia",94,0.9013,0.136,0.025,0.839,0.14902597402597403,0.5640151515151516,"sweet, blueberry, berry, smooth, aromatic","sweet, natural, more, blind, aromatic",6,"berry, sweet, smooth, aromatic, blueberry, cocoa"
Ethiopia Natural Guji Shakiso Anasora G1,NT $420/8 ounces,https://www.coffeereview.com/review/ethiopia-natural-guji-shakiso-anasora-g1/,"Guji Zone, Oromia Region, southern Ethiopia",93,0.8555,0.093,0.021,0.886,0.12291666666666667,0.4906250000000001,"chocolate, cherry, sweet, smooth, rich","black, natural, more, blind, aromatic",8,"sweet, smooth, rich, crisp, aromatic, cherry, chocolate, nut"
Nicaragua Procafe Regenerative-Organic Certified,$20.00/12 ounces,https://www.coffeereview.com/review/nicaragua-procafe-regenerative-organic-certified/,"San Juan del Rio Coco, Nicaragua",93,0.9565,0.139,0.016,0.845,0.27142857142857146,0.604761904761905,"sweet, cocoa, balanced","organic, sweet, regenerative, fair, utopian",3,"sweet, balanced, cocoa"
Ethiopia Sidama Bensa Shantawene Gatta Kenean Dukamo Anaerobic Natural G1,NT $720/8 ounces,https://www.coffeereview.com/review/ethiopia-sidama-bensa-shantawene-gatta-kenean-dukamo-anaerobic-natural-g1/,"Bensa district, Sidama Zone, southern Ethiopia",94,0.967,0.189,0.033,0.778,0.2199248120300752,0.5092731829573935,"honey, floral, sweet, smooth, balanced","orange, wild, natural, more, blind",10,"floral, sweet, smooth, balanced, bright, rich, crisp, aromatic, honey, cocoa"
Kenya Nyeri Hill AB,$23.50/12 ounces,https://www.coffeereview.com/review/kenya-nyeri-hill-ab/,"Nyeri growing region, south-central Kenya",96,0.9423,0.144,0.018,0.838,0.1453125,0.5729166666666667,"sweet, complex, aromatic, cocoa","more, blind, complex, multi, -",4,"sweet, complex, aromatic, cocoa"
Ethiopia Guji Bishala G1 Red Honey,NT $460/8 ounces,https://www.coffeereview.com/review/ethiopia-guji-bishala-g1-red-honey/,"Guji Zone, Oromia region, southern Ethiopia",94,0.9022,0.115,0.021,0.864,0.14366666666666666,0.4307777777777778,"sweet, cocoa, honey, floral, berry","sweet, tart, more, blind, complex",6,"floral, berry, sweet, complex, honey, cocoa"
Colombia Red Sunset,$27.00/12 ounces,https://www.coffeereview.com/review/colombia-red-sunset/,"Santa Barbara, Antioquia Department, Colombia",94,0.9382,0.125,0.018,0.858,0.18666666666666668,0.4744444444444445,"honey, sweet, citrus, smooth, cocoa","tart, wild, sweet, more, blind",6,"citrus, sweet, smooth, honey, cocoa, clove"
Ethiopia Oromia Guji Uraga Kurume TOP GRADE 1 Anaerobic Natural,NT $420/8 ounces,https://www.coffeereview.com/review/ethiopia-oromia-guji-uraga-kurume-top-grade-1-anaerobic-natural/,"Guji Zone, Oromia Region, southern Ethiopia",91,0.9169,0.149,0.039,0.811,0.17357142857142857,0.45507936507936514,"sweet, caramel, rich, crisp, aromatic","sweet, anaerobic, natural, more, blind",5,"caramel, sweet, rich, crisp, aromatic"
Ethiopia Kayon Mountain,$24.00/12 ounces,https://www.coffeereview.com/review/ethiopia-kayon-mountain-12/,"Odo Shakiso District, Guji Zone, southern Ethiopia",95,0.9529,0.14,0.018,0.842,0.14444444444444443,0.49285714285714294,"chocolate, citrus, berry, balanced, bright","distinctive, natural, more, blind, dark",8,"citrus, berry, balanced, bright, dark, complex, crisp, chocolate"
Costa Rica Las Lajas SL-28 Natural,$30.00/12 ounces,https://www.coffeereview.com/review/costa-rica-las-lajas-sl-28-natural/,"Sabanilla de Alajuela growing region, Costa Rica",94,0.9618,0.158,0.019,0.823,0.09555555555555555,0.58125,"rich, dark, chocolate, citrus, sweet","dark, natural, rich, more, blind",8,"citrus, sweet, rich, dark, complex, chocolate, nut, almond"
